ingredient,recipe,re_name,in_name,nameEn,nameZh,wikiuri,image,QuaraID,subclassofLabelEn
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe1000,Harvest Loaf Cake,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10006,Spider Cupcakes,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe1003,Oatmeal Cake III,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10052,Applesauce Salad,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10062,Apple Cranberry Crisp,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10080,Pumpkin Pie Cake II,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10083,French Stuffing,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10092,Mock Apple Pie IV,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10096,Apple Crunch Pie II,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
https://kg.knowledgegraph.tech/food2#Ingredient17,https://kg.knowledgegraph.tech/food2#Recipe10103,Creamy Mushroom Soup,cinnamon,cinnamon,桂皮,http://www.wikidata.org/entity/Q28165,http://commons.wikimedia.org/wiki/Special:FilePath/Canelle%20Cinnamomum%20burmannii%20Luc%20Viatour.jpg,Cinnamon-spice-2,spice
