ingredient,recipe,re_name,in_name,nameEn,nameZh,wikiuri,image,QuaraID,subclassofLabelEn
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10041,Sweet Rice (Zarda),raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10047,Quick Vegan Spaghetti Sauce,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10082,Fantasy Pie,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10127,Glogg,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10204,Graham Cracker Pudding,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10249,Clootie Dumpling,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10260,Land of Nod Cinnamon Buns,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe10274,Mystery Pork Casserole,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe1030,Sugarless Applesauce Cake,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
https://kg.knowledgegraph.tech/food2#Ingredient16,https://kg.knowledgegraph.tech/food2#Recipe1032,Special Frosted Applesauce Cake,raisin,raisin,葡萄乾,http://www.wikidata.org/entity/Q13186,http://commons.wikimedia.org/wiki/Special:FilePath/Raisins.jpg,Raisins,dried fruit
