ingredient,recipe,re_name,in_name,nameEn,nameZh,wikiuri,image,QuaraID,subclassofLabelEn
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10047,Quick Vegan Spaghetti Sauce,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10075,Allana''s Zesty Red Clam Chowder,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10076,Clam with Tomato and Rice Soup,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10101,Mexican Rice,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10108,Hot Dog Soup,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10150,Salsa Chicken Burrito Filling,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10220,Ann''s Sister''s Meatloaf Recipe,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10255,Sirloin Tips and Mushrooms,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10280,Spicy Pizza Soup,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10302,Susie''s Stuffies,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10317,Italian Style Soup,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10421,Beef Enchiladas I,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10449,World''s Best Lasagna,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10452,Everything in the Fridge Pasta Sauce,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10567,Salsa Rosa,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10590,Hearty Chicken Vegetable Soup III,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10600,Chuck''s Come On Ice Cream (or Night of the Red Death) Chili,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10652,Chunky Marinara Sauce,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10653,Old Fashioned Sicilian Succo,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
https://kg.knowledgegraph.tech/food2#Ingredient191,https://kg.knowledgegraph.tech/food2#Recipe10658,Minted Carrot Salad,tomato sauce,tomato sauce,番茄沙司,http://www.wikidata.org/entity/Q3596097,http://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,Tomato-Sauce-1,sauce
